CP #,RANK,SIGNATURE,CP COORDINATES_X,CP COORDINATES_Y,CP COORDINATES_Z,Rho,|GRAD(Rho)|,GRAD(Rho)x,GRAD(Rho)y,GRAD(Rho)z,Laplacian,(-1/4)Del**2(Rho)),Diamond,Metallicity,Ellipticity,Theta,Phi,EIGENVALUES OF HESSIAN MATRIX_X,EIGENVALUES OF HESSIAN MATRIX_Y,EIGENVALUES OF HESSIAN MATRIX_Z,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV1_X,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV1_Y,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV1_Z,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV2_X,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV2_Y,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV2_Z,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV3_X,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV3_Y,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV3_Z,EIGENVALUES OF HESSIAN MATRIX_X,EIGENVALUES OF HESSIAN MATRIX_Y,EIGENVALUES OF HESSIAN MATRIX_Z,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV1_X,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV1_Y,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV1_Z,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV2_X,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV2_Y,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV2_Z,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV3_X,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV3_Y,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV3_Z,HESSIAN MATRIX_XX,HESSIAN MATRIX_XY,HESSIAN MATRIX_XZ,HESSIAN MATRIX_YX,HESSIAN MATRIX_YY,HESSIAN MATRIX_YZ,HESSIAN MATRIX_ZX,HESSIAN MATRIX_ZY,HESSIAN MATRIX_ZZ
1,3,-3,0.098924,0.068183,0.159461,12918.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,-3,0.098666,-1.941998,0.082244,206.0748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,-3,2.11724,0.048438,-0.04525,206.0857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,-3,0.1272,2.066207,-0.104129,206.0687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,-3,-1.905607,0.097249,0.076448,206.0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,-3,1.188968,-2.776606,0.151105,127.0141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,-3,-1.01021,-2.75847,0.076273,127.0178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,-3,1.226312,2.876449,-0.302842,127.0156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,-3,-0.954885,2.918696,-0.022128,127.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,-3,2.943378,-1.05078,0.037313,127.0186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,-3,2.95196,1.124535,-0.254505,127.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,-3,-2.740932,-0.995916,0.077083,127.0151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,-3,-2.71837,1.203437,0.135374,127.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3,-3,0.758563,-4.153781,0.196407,127.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,-3,-0.605518,-4.142946,0.141805,127.0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,-3,0.827435,4.261898,-0.342652,127.0085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,-3,-0.524315,4.289238,-0.153273,127.0132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,-3,4.327052,-0.652645,-0.083595,127.0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,-3,4.331596,0.696884,-0.277858,127.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,-3,-4.118293,-0.564674,0.13844,127.0116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,-3,-4.104586,0.799269,0.184268,127.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,-3,2.518458,-2.366846,0.152545,127.0091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3,-3,-2.330847,-2.324097,0.064877,127.0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,-3,-2.279279,2.523776,0.11412,127.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3,-3,2.542684,2.442735,-0.397157,127.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3,-3,-0.495536,-0.868608,4.757398,127.0215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,-3,0.33479,-0.087996,5.74327,126.8821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,-3,-1.870212,-1.240544,5.268721,126.8784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3,-3,-0.841394,1.218004,-3.055769,126.9049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3,-3,1.427717,-5.006682,0.290747,0.4917253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3,-3,-1.291005,-4.986644,0.186441,0.49207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3,-3,1.514872,5.099624,-0.446958,0.4922157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,3,-3,-1.180146,5.15385,-0.074484,0.4920336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3,-3,5.174912,-1.329605,-0.000323,0.4920022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,-3,5.185095,1.364703,-0.382249,0.4921675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3,-3,-4.973627,-1.235219,0.185363,0.4922121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3,-3,-4.944606,1.484794,0.274009,0.491805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3,-3,3.285521,-3.139437,0.222214,0.4951071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3,-3,-3.108907,-3.088628,0.090967,0.4954286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3,-3,-3.032701,3.309225,0.187192,0.4950634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3,-3,3.315225,3.200704,-0.539921,0.4956857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3,-3,1.332992,0.173267,5.374334,0.4951216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3,-3,-0.174787,0.807314,6.127277,0.491884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3,-3,0.037413,-1.729555,4.32952,0.4949192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3,-3,-1.727421,-1.923425,6.139836,0.4752757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3,-3,-2.493657,-1.793545,4.554199,0.4958238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3,-3,-2.43224,-0.390671,5.681596,0.4925828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3,-3,-0.411405,-0.236087,3.314544,0.3050524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3,-3,0.492101,-0.72593,6.646015,0.4734328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3,-3,-0.952166,1.027203,-4.13817,0.4965308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3,-3,-1.842359,1.397829,-2.637051,0.4972849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3,-3,-0.228544,2.119384,-2.913029,0.4992263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3,-3,0.072413,0.08289,1.945972,314.5977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3,-3,-0.060426,-0.256127,-2.301657,2753.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3,-1,-3.443018,-0.787772,0.107019,0.2779736,2.480811e-12,2.463414e-12,-2.870936e-13,-5.99471e-14,-0.6618596,0.1654649,0.7250784,-12.32688,0.1461645,0.8724909685005441,0.8387280682419576,-0.5667139,-0.4944438,0.3992981,-0.2912276,-0.9566538,-0.0001536625,0.04057863,-0.01251356,0.999098,-0.9557928,0.2909587,0.04246399,-0.5667139,-0.4944438,0.3992981,-0.2912276,-0.9566538,-0.0001536625,0.04057863,-0.01251356,0.999098,-0.9557928,0.2909587,0.04246399,0.3158956,-0.268681,-0.03627734,-0.268681,-0.484923,0.0110318,-0.03627734,0.0110318,-0.4928322
56,3,-1,-4.127204,0.11732,0.163467,0.3189216,3.046735e-13,2.861666e-13,-2.139799e-14,-1.02356e-13,-0.8344676,0.2086169,0.8948817,-12.29354,0.2528565,0.9264268929794467,0.8715489242971757,-0.6764285,-0.539909,0.3818698,-0.998141,0.007955998,0.06042504,0.06012002,-0.0341973,0.9976052,0.01000332,0.9993834,0.03365541,-0.6764285,-0.539909,0.3818698,-0.998141,0.007955998,0.06042504,0.06012002,-0.0341973,0.9976052,0.01000332,0.9993834,0.03365541,-0.6758291,0.01029929,0.008544192,0.01029929,0.3807249,0.03093809,0.008544192,0.03093809,-0.5393633
57,3,-1,-0.862489,0.085972,0.106717,0.0892906,4.225057e-14,2.253839e-15,2.757617e-14,-3.193095e-14,0.3466353,-0.08665882,0.3045489,3.546092,0.3710953,0.42393856401582103,0.3678761714298997,-0.1089907,-0.07949173,0.5351177,0.02830524,-0.06971597,-0.9971652,0.0125512,0.9975111,-0.06938387,-0.9995205,0.01055169,-0.02910981,-0.1089907,-0.07949173,0.5351177,0.02830524,-0.06971597,-0.9971652,0.0125512,0.9975111,-0.06938387,-0.9995205,0.01055169,-0.02910981,0.5345049,-0.00642385,0.01871519,-0.00642385,-0.07956668,-0.002239504,0.01871519,-0.002239504,-0.1083029
58,3,1,-3.119731,0.107629,0.1248,0.05285348,1.736675e-16,-1.288744e-16,1.162265e-16,6.572976e-18,0.3289494,-0.08223736,0.0744894,1.559337,-1.273166,1.1012399209460597,1.089190726526727,-0.05026097,0.1839939,0.1952164,0.03901527,-0.0281646,0.9988416,-0.9986191,0.03409455,0.03996796,-0.03518073,-0.9990217,-0.0267955,-0.05026097,0.1839939,0.1952164,0.03901527,-0.0281646,0.9988416,-0.9986191,0.03409455,0.03996796,-0.03518073,-0.9990217,-0.0267955,0.1836513,0.0006518405,-0.009118353,0.0006518405,0.1950087,0.006890472,-0.009118353,0.006890472,-0.04971051
59,3,-1,-3.425103,1.009062,0.161183,0.2778263,2.321855e-16,1.614648e-16,1.665131e-16,-1.061163e-17,-0.6612401,0.16531,0.7240953,-12.32753,0.1456731,0.8723612028552251,0.8387036605219564,-0.5661821,-0.4941917,0.3991337,0.270761,-0.961581,-0.04528258,0.04473058,-0.03442154,0.9984059,-0.9616068,-0.2723549,0.03369207,-0.5661821,-0.4941917,0.3991337,0.270761,-0.961581,-0.04528258,0.04473058,-0.03442154,0.9984059,-0.9616068,-0.2723549,0.03369207,0.3265775,0.2527038,-0.02805976,0.2527038,-0.4944924,-0.011332,-0.02805976,-0.011332,-0.4933252
60,3,-1,-2.488475,1.868064,0.126108,0.3054829,2.132847e-16,-1.68873e-17,2.125036e-16,-6.884684e-18,-0.8082701,0.2020675,0.8739399,-11.81322,0.1954029,0.9130270587612707,0.8694169922524947,-0.6519753,-0.5454021,0.3891073,0.9481766,-0.3111826,-0.0642376,0.06569082,-0.005820564,0.997823,0.3108791,0.9503323,-0.01492292,-0.6519753,-0.5454021,0.3891073,0.9481766,-0.3111826,-0.0642376,0.06569082,-0.005820564,0.997823,0.3108791,0.9503323,-0.01492292,-0.5508992,0.3075351,0.002155824,0.3075351,0.2882628,-0.01538332,0.002155824,-0.01538332,-0.5456338
